iter	RMSE
150	19.76159904
151	19.74888706
152	19.73332274
153	19.71951309
154	19.71212542
155	19.70445833
156	19.69073067
157	19.67188269
158	19.64455646
159	19.62909973
160	19.61273911
161	19.59930434
162	19.58657383
163	19.58062373
164	19.57616022
165	19.56283885
166	19.55412778
167	19.54959187
168	19.54532482
169	19.54172317
170	19.52302927
171	19.51660409
172	19.51271948
173	19.49543153
174	19.47885077
175	19.45668135
176	19.45278805
177	19.43544789
178	19.41732089
179	19.4133902
180	19.3963761
181	19.38118313
182	19.35502338
183	19.34039528
184	19.3367797
185	19.32174201
186	19.30691689
187	19.29140123
188	19.28610546
189	19.26456227
190	19.24431466
191	19.2279153
192	19.212658
193	19.2070255
194	19.18398068
195	19.16969865
196	19.16586347
197	19.14771746
198	19.12916829
199	19.11705599
200	19.11361074
201	19.09617193
202	19.07808824
203	19.06010457
204	19.04935867
205	19.03137545
206	19.01708675
207	18.99814843
208	18.98302389
209	18.97054223
210	18.95413183
211	18.94109528
212	18.93058959
213	18.9124506
214	18.90885211
215	18.88694603
216	18.88372404
217	18.88072188
218	18.86070791
219	18.84064072
220	18.83482052
221	18.81863016
222	18.80677166
223	18.80292659
224	18.79955028
225	18.78263804
226	18.77957686
227	18.76929268
228	18.76160806
229	18.75588061
230	18.73918479
231	18.72478862
232	18.71079084
233	18.70521389
234	18.68938595
235	18.68480626
236	18.67152632
237	18.65521603
238	18.63786659
239	18.62565223
240	18.61240033
241	18.60918367
242	18.60312293
243	18.60029682
244	18.59528394
245	18.58957203
246	18.58628485
247	18.57306222
248	18.55926411
249	18.55385085
250	18.53551649
251	18.53301835
252	18.52962513
253	18.52439556
254	18.50867732
255	18.4951483
256	18.4895432
257	18.48661881
258	18.47592788
259	18.46690304
260	18.45562482
261	18.44106362
262	18.43577585
263	18.4221643
264	18.39950409
265	18.39653328
266	18.38137373
267	18.36461693
268	18.35519027
269	18.35211459
270	18.34643544
271	18.33742238
272	18.33430521
273	18.3163885
274	18.30523066
275	18.29230904
276	18.28020568
277	18.27108323
278	18.25793276
279	18.25434167
280	18.23942089
281	18.23438299
282	18.22175149
283	18.20609068
284	18.19534837
285	18.18126157
286	18.17624434
287	18.16363695
288	18.15867248
289	18.14574479
290	18.13401252
291	18.13019769
292	18.11759547
293	18.10673067
294	18.09112623
295	18.07653626
296	18.06953487
297	18.06665381
298	18.05469961
299	18.05170128
300	18.04880727
301	18.03076642
302	18.01778092
303	18.00567901
304	18.00269928
305	17.9962699
306	17.98715031
307	17.97512588
308	17.96580628
309	17.95643678
310	17.94208978
311	17.93851459
312	17.92094988
313	17.91706292
314	17.90270645
315	17.89257039
316	17.88795567
317	17.87533361
318	17.87082981
319	17.86252226
320	17.85984305
321	17.85048875
322	17.84005335
323	17.82981165
324	17.82548113
325	17.82104189
326	17.81552633
327	17.80532163
328	17.79302582
329	17.78669242
330	17.78359134
331	17.78049488
332	17.77782134
333	17.76392391
334	17.76098912
335	17.75817822
336	17.75563043
337	17.74028791
338	17.73769803
339	17.73501671
340	17.73253972
341	17.73024154
342	17.72505964
343	17.71702626
344	17.71091361
345	17.70790659
346	17.695745
347	17.68221553
348	17.67972449
349	17.6657432
350	17.65314745
351	17.64940175
352	17.63782003
353	17.62263351
354	17.61082904
355	17.60858598
356	17.59495336
357	17.58586767
358	17.57431634
359	17.56400552
360	17.55101576
361	17.53833464
362	17.52675082
363	17.52369617
364	17.5124501
365	17.50328267
366	17.49305635
367	17.48343658
368	17.46812074
369	17.46012327
370	17.44860255
371	17.44409525
372	17.43990559
373	17.42818035
374	17.41734109
375	17.41461881
376	17.39987415
377	17.39058423
378	17.37704157
379	17.36382582
380	17.36131108
381	17.35910206
382	17.35626024
383	17.34821602
384	17.34090808
385	17.33187349
386	17.32198513
387	17.31320854
388	17.31117657
389	17.29960239
390	17.29141169
391	17.28881538
392	17.28077995
393	17.26942997
394	17.26707802
395	17.26467307
396	17.25512246
397	17.24281538
398	17.23170706
399	17.22656699
400	17.21335883
401	17.20428519
402	17.19960992
403	17.19065753
404	17.17753136
405	17.16258241
406	17.15892601
407	17.15235013
408	17.14076961
409	17.13708952
410	17.12566861
411	17.1146868
412	17.10740748
413	17.09824474
414	17.09484197
415	17.0897458
416	17.07657034
417	17.07325522
418	17.06547817
419	17.06257593
420	17.05140396
421	17.04201291
422	17.0337716
423	17.03155567
424	17.02492458
425	17.01709031
426	17.00563356
427	16.9956048
428	16.99160165
429	16.98203466
430	16.96980193
431	16.96077507
432	16.95569151
433	16.95328591
434	16.94424959
435	16.94220922
436	16.93578508
437	16.92521887
438	16.91649003
439	16.90694965
440	16.90466099
441	16.89577742
442	16.89327221
443	16.88149748
444	16.8776688
445	16.86922347
446	16.85407143
447	16.84389693
448	16.83852061
449	16.82807235
450	16.82612814
451	16.81571791
452	16.80656161
453	16.80117491
454	16.79251614
455	16.78913897
456	16.78523192
457	16.77441891
458	16.76586887
459	16.7567857
460	16.74463895
461	16.73977844
462	16.73079836
463	16.71919129
464	16.70836927
465	16.70127307
466	16.69666823
467	16.69404867
468	16.68373048
469	16.68095046
470	16.67840848
471	16.66953477
472	16.66188677
473	16.65988395
474	16.6515062
475	16.63972014
476	16.6273445
477	16.61903536
478	16.6116538
479	16.60927643
480	16.60705381
481	16.60059899
482	16.58848144
483	16.57765152
484	16.57011783
485	16.55976877
486	16.55191601
487	16.54032512
488	16.53414447
489	16.53212061
490	16.52995219
491	16.52751485
492	16.51673476
493	16.51474412
494	16.51276874
495	16.5027994
496	16.50087202
497	16.49897005
498	16.49712544
499	16.49535108
