iter	RMSE
0	25.69656473
1	25.33840615
2	24.97673039
3	24.68594913
4	24.44049293
5	24.24326806
6	24.05314652
7	23.8783709
8	23.72514731
9	23.59340858
10	23.461867
11	23.36861051
12	23.26614685
13	23.16895197
14	23.09696992
15	23.01627053
16	22.92186661
17	22.84933926
18	22.78508472
19	22.71510395
20	22.66204561
21	22.60663434
22	22.55862247
23	22.50816514
24	22.46111108
25	22.41560288
26	22.37719063
27	22.33782897
28	22.2933142
29	22.25348483
30	22.20701697
31	22.1470858
32	22.10601325
33	22.06043999
34	22.02160058
35	21.98597089
36	21.94536148
37	21.91233254
38	21.8794353
39	21.84033766
40	21.8184318
41	21.782528
42	21.75205323
43	21.72433151
44	21.69776141
45	21.66966872
46	21.64466522
47	21.61759375
48	21.5871229
49	21.56548894
50	21.5430646
51	21.51114706
52	21.48591039
53	21.46265613
54	21.44702299
55	21.42806696
56	21.40748555
57	21.38535726
58	21.36247213
59	21.34127621
60	21.32157963
61	21.28761396
62	21.26769566
63	21.24920673
64	21.22443268
65	21.20943158
66	21.18707467
67	21.18398685
68	21.17101804
69	21.15634476
70	21.14373296
71	21.12131766
72	21.1004896
73	21.07418369
74	21.0491232
75	21.03670328
76	21.03279152
77	21.01144811
78	20.98689503
79	20.96762552
80	20.9547971
81	20.93759266
82	20.91354725
83	20.89125629
84	20.88146789
85	20.86490325
86	20.8421352
87	20.83435508
88	20.81378905
89	20.79529337
90	20.770441
91	20.75260019
92	20.73619804
93	20.72896171
94	20.70939921
95	20.70426313
96	20.68419209
97	20.67944449
98	20.65145452
99	20.6366332
100	20.63117492
101	20.62512155
102	20.60737086
103	20.58741594
104	20.56911254
105	20.53480444
106	20.52117785
107	20.51638847
108	20.48651243
109	20.48118235
110	20.45889139
111	20.4422631
112	20.43446306
113	20.41028675
114	20.38747004
115	20.37074302
116	20.36572519
117	20.36043407
118	20.32216848
119	20.29895222
120	20.293642
121	20.26898343
122	20.25025071
123	20.22607638
124	20.20744558
125	20.20279857
126	20.1672392
127	20.15980428
128	20.13672561
129	20.12053573
130	20.09762726
131	20.0690736
132	20.04377705
133	20.0233914
134	20.00334137
135	19.99012445
136	19.98555929
137	19.9725943
138	19.95044253
139	19.94563711
140	19.91565694
141	19.89886731
142	19.87573745
143	19.8685068
144	19.86222833
145	19.83813887
146	19.82028884
147	19.81554048
148	19.79875203
149	19.78399454
